Filename,Particles Number,Iteration Number,Pr1,Pr2,Pr3,Stdev,Mean,Best
eil51,20,200,0.2,0.4,0.4,6.4581423,446.57775,437.22116
eil51,30,200,0.2,0.4,0.4,4.3397251,445.25318,440.29603
